id,name,aliases,equipment,category,laterality,loading,setup,primary_muscle,credited_muscles,fractional_allocations,rationale,confidence,allocation_confidence,source_ids,limitations
p5-seated-band-row,Seated Band Row,,Resistance band,Horizontal pull — tucked elbows,bilateral,external,Band anchored ahead at waist height; elbows pull toward hips.,Lats / teres major,Lats / teres major | Mid / Low Traps & Rhomboids | Biceps (Brachii) | Rear Delts,Lats / teres major=1 | Mid / Low Traps & Rhomboids=0.5 | Biceps (Brachii)=0.5 | Rear Delts=0.25,"Tucked-elbow shoulder extension emphasizes lats; scapular retraction, elbow flexion and posterior shoulder assistance earn bounded supporting credits.",medium,Lats / teres major=medium | Mid / Low Traps & Rhomboids=medium | Biceps (Brachii)=medium | Rear Delts=medium,anatomy-upper | pull,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-standing-band-row,Standing Band Row,,Resistance band,Horizontal pull — tucked elbows,bilateral,external,"Mid-torso anchor; split stance, no torso swing.",Lats / teres major,Lats / teres major | Mid / Low Traps & Rhomboids | Biceps (Brachii) | Rear Delts,Lats / teres major=1 | Mid / Low Traps & Rhomboids=0.5 | Biceps (Brachii)=0.5 | Rear Delts=0.25,"Tucked-elbow shoulder extension emphasizes lats; scapular retraction, elbow flexion and posterior shoulder assistance earn bounded supporting credits.",medium,Lats / teres major=medium | Mid / Low Traps & Rhomboids=medium | Biceps (Brachii)=medium | Rear Delts=medium,anatomy-upper | pull,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-single-arm-kettlebell-row,Single-Arm Kettlebell Row,Single-Arm KB Row,Kettlebell,Horizontal pull — tucked elbows,unilateral,external,"One hand braced on bench; bell hangs below hand, elbow tracks toward hip.",Lats / teres major,Lats / teres major | Mid / Low Traps & Rhomboids | Biceps (Brachii) | Rear Delts,Lats / teres major=1 | Mid / Low Traps & Rhomboids=0.5 | Biceps (Brachii)=0.5 | Rear Delts=0.25,"Tucked-elbow shoulder extension emphasizes lats; scapular retraction, elbow flexion and posterior shoulder assistance earn bounded supporting credits.",medium,Lats / teres major=medium | Mid / Low Traps & Rhomboids=medium | Biceps (Brachii)=medium | Rear Delts=medium,anatomy-upper | pull,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Sets are per side: one prescribed set means one set on each side; do not double bilateral group volume."
p5-inverted-row,Inverted Row,Australian pull-up | Body row,Bodyweight,Horizontal pull — tucked elbows,bilateral,bodyweight/weighted/assisted,"Fixed bar, straight trunk; pull lower chest to bar with moderately tucked elbows.",Lats / teres major,Lats / teres major | Mid / Low Traps & Rhomboids | Biceps (Brachii) | Rear Delts,Lats / teres major=1 | Mid / Low Traps & Rhomboids=0.5 | Biceps (Brachii)=0.5 | Rear Delts=0.25,"Tucked-elbow shoulder extension emphasizes lats; scapular retraction, elbow flexion and posterior shoulder assistance earn bounded supporting credits.",medium,Lats / teres major=medium | Mid / Low Traps & Rhomboids=medium | Biceps (Brachii)=medium | Rear Delts=medium,anatomy-upper | pull,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Added weight or counterweight assistance uses the same ID when joint path/ROM is unchanged; record load type in the plan."
p5-ring-row,Ring Row,Suspension row,Bodyweight,Horizontal pull — tucked elbows,bilateral,bodyweight/weighted/assisted,Suspended rings permit rotating grip; elbows near torso.,Lats / teres major,Lats / teres major | Mid / Low Traps & Rhomboids | Biceps (Brachii) | Rear Delts,Lats / teres major=1 | Mid / Low Traps & Rhomboids=0.5 | Biceps (Brachii)=0.5 | Rear Delts=0.25,"Tucked-elbow shoulder extension emphasizes lats; scapular retraction, elbow flexion and posterior shoulder assistance earn bounded supporting credits.",medium,Lats / teres major=medium | Mid / Low Traps & Rhomboids=medium | Biceps (Brachii)=medium | Rear Delts=medium,anatomy-upper | pull,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Added weight or counterweight assistance uses the same ID when joint path/ROM is unchanged; record load type in the plan."
p5-feet-elevated-inverted-row,Feet-Elevated Inverted Row,,Bodyweight,Horizontal pull — tucked elbows,bilateral,bodyweight/weighted/assisted,"Feet raised on bench, body near horizontal under fixed bar.",Lats / teres major,Lats / teres major | Mid / Low Traps & Rhomboids | Biceps (Brachii) | Rear Delts,Lats / teres major=1 | Mid / Low Traps & Rhomboids=0.5 | Biceps (Brachii)=0.5 | Rear Delts=0.25,"Tucked-elbow shoulder extension emphasizes lats; scapular retraction, elbow flexion and posterior shoulder assistance earn bounded supporting credits.",medium,Lats / teres major=medium | Mid / Low Traps & Rhomboids=medium | Biceps (Brachii)=medium | Rear Delts=medium,anatomy-upper | pull,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Added weight or counterweight assistance uses the same ID when joint path/ROM is unchanged; record load type in the plan."
p5-wide-grip-inverted-row,Wide-Grip Inverted Row,,Bodyweight,Horizontal pull — flared elbows,bilateral,bodyweight/weighted/assisted,"Overhand wide grip, elbows flared, pull upper chest toward bar.",Mid / Low Traps & Rhomboids,Mid / Low Traps & Rhomboids | Rear Delts | Biceps (Brachii) | Lats / teres major,Mid / Low Traps & Rhomboids=1 | Rear Delts=0.5 | Biceps (Brachii)=0.5 | Lats / teres major=0.25,Flared elbows and deliberate scapular retraction emphasize upper-back retractors; posterior shoulder and elbow flexors assist. Lats receive only minor credit in this path.,medium,Mid / Low Traps & Rhomboids=medium | Rear Delts=medium | Biceps (Brachii)=medium | Lats / teres major=medium,anatomy-upper,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Added weight or counterweight assistance uses the same ID when joint path/ROM is unchanged; record load type in the plan."
p5-pull-up,Pull-Up,Overhand pullup | Weighted pull-up | Assisted pull-up,Bodyweight,Vertical pull,bilateral,bodyweight/weighted/assisted,Shoulder-width pronated grip; pull elbows down without kipping.,Lats / teres major,Lats / teres major | Biceps (Brachii) | Mid / Low Traps & Rhomboids,Lats / teres major=1 | Biceps (Brachii)=0.5 | Mid / Low Traps & Rhomboids=0.25,Shoulder adduction/extension loads lats; elbow flexors contribute substantially and scapular movement supports modest grouped-back credit.,medium,Lats / teres major=medium | Biceps (Brachii)=medium | Mid / Low Traps & Rhomboids=medium,anatomy-upper | pull,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Added weight or counterweight assistance uses the same ID when joint path/ROM is unchanged; record load type in the plan."
p5-neutral-grip-pull-up,Neutral-Grip Pull-Up,Hammer-grip pull-up,Bodyweight,Vertical pull,bilateral,bodyweight/weighted/assisted,Parallel handles with palms facing; controlled full shoulder excursion.,Lats / teres major,Lats / teres major | Biceps (Brachii) | Mid / Low Traps & Rhomboids,Lats / teres major=1 | Biceps (Brachii)=0.5 | Mid / Low Traps & Rhomboids=0.25,Shoulder adduction/extension loads lats; elbow flexors contribute substantially and scapular movement supports modest grouped-back credit.,medium,Lats / teres major=medium | Biceps (Brachii)=medium | Mid / Low Traps & Rhomboids=medium,anatomy-upper | pull,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Added weight or counterweight assistance uses the same ID when joint path/ROM is unchanged; record load type in the plan."
p5-wide-grip-pull-up,Wide-Grip Pull-Up,,Bodyweight,Vertical pull,bilateral,bodyweight/weighted/assisted,Pronated grip about 1.5 times shoulder width; controlled ROM without behind-neck pulling.,Lats / teres major,Lats / teres major | Biceps (Brachii) | Mid / Low Traps & Rhomboids,Lats / teres major=1 | Biceps (Brachii)=0.5 | Mid / Low Traps & Rhomboids=0.25,Shoulder adduction/extension loads lats; elbow flexors contribute substantially and scapular movement supports modest grouped-back credit.,medium,Lats / teres major=medium | Biceps (Brachii)=medium | Mid / Low Traps & Rhomboids=medium,anatomy-upper | pull,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Added weight or counterweight assistance uses the same ID when joint path/ROM is unchanged; record load type in the plan."
p5-ring-chin-up,Ring Chin-Up,,Bodyweight,Vertical pull,bilateral,bodyweight/weighted/assisted,Rings rotate freely from neutral toward supinated grip; no kipping.,Lats / teres major,Lats / teres major | Biceps (Brachii) | Mid / Low Traps & Rhomboids,Lats / teres major=1 | Biceps (Brachii)=0.5 | Mid / Low Traps & Rhomboids=0.25,Shoulder adduction/extension loads lats; elbow flexors contribute substantially and scapular movement supports modest grouped-back credit.,medium,Lats / teres major=medium | Biceps (Brachii)=medium | Mid / Low Traps & Rhomboids=medium,anatomy-upper | pull,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Added weight or counterweight assistance uses the same ID when joint path/ROM is unchanged; record load type in the plan."
p5-band-assisted-pull-up,Band-Assisted Pull-Up,,Resistance band,Vertical pull,bilateral,assistance,Band under foot/knee on fixed overhand bar; assistance varies through ROM.,Lats / teres major,Lats / teres major | Biceps (Brachii) | Mid / Low Traps & Rhomboids,Lats / teres major=1 | Biceps (Brachii)=0.5 | Mid / Low Traps & Rhomboids=0.25,Shoulder adduction/extension loads lats; elbow flexors contribute substantially and scapular movement supports modest grouped-back credit.,medium,Lats / teres major=medium | Biceps (Brachii)=medium | Mid / Low Traps & Rhomboids=medium,anatomy-upper | pull,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-band-lat-pulldown,Band Lat Pulldown,,Resistance band,Vertical pull,bilateral,external,High fixed anchor; kneel and pull elbows toward ribs.,Lats / teres major,Lats / teres major | Biceps (Brachii) | Mid / Low Traps & Rhomboids,Lats / teres major=1 | Biceps (Brachii)=0.5 | Mid / Low Traps & Rhomboids=0.25,Shoulder adduction/extension loads lats; elbow flexors contribute substantially and scapular movement supports modest grouped-back credit.,medium,Lats / teres major=medium | Biceps (Brachii)=medium | Mid / Low Traps & Rhomboids=medium,anatomy-upper | pull,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-neutral-grip-lat-pulldown,Neutral-Grip Lat Pulldown,V-handle pulldown,Cable,Vertical pull,bilateral,external,"Close parallel handles; torso nearly upright, elbows travel toward ribs.",Lats / teres major,Lats / teres major | Biceps (Brachii) | Mid / Low Traps & Rhomboids,Lats / teres major=1 | Biceps (Brachii)=0.5 | Mid / Low Traps & Rhomboids=0.25,Shoulder adduction/extension loads lats; elbow flexors contribute substantially and scapular movement supports modest grouped-back credit.,medium,Lats / teres major=medium | Biceps (Brachii)=medium | Mid / Low Traps & Rhomboids=medium,anatomy-upper | pull,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-underhand-lat-pulldown,Underhand Lat Pulldown,Reverse-grip pulldown,Cable,Vertical pull,bilateral,external,Shoulder-width supinated grip; pull in front to upper chest.,Lats / teres major,Lats / teres major | Biceps (Brachii) | Mid / Low Traps & Rhomboids,Lats / teres major=1 | Biceps (Brachii)=0.5 | Mid / Low Traps & Rhomboids=0.25,Shoulder adduction/extension loads lats; elbow flexors contribute substantially and scapular movement supports modest grouped-back credit.,medium,Lats / teres major=medium | Biceps (Brachii)=medium | Mid / Low Traps & Rhomboids=medium,anatomy-upper | pull,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-single-arm-lat-pulldown,Single-Arm Lat Pulldown,,Cable,Vertical pull,unilateral,external,"One high handle, torso square, elbow travels toward hip.",Lats / teres major,Lats / teres major | Biceps (Brachii) | Mid / Low Traps & Rhomboids,Lats / teres major=1 | Biceps (Brachii)=0.5 | Mid / Low Traps & Rhomboids=0.25,Shoulder adduction/extension loads lats; elbow flexors contribute substantially and scapular movement supports modest grouped-back credit.,medium,Lats / teres major=medium | Biceps (Brachii)=medium | Mid / Low Traps & Rhomboids=medium,anatomy-upper | pull,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Sets are per side: one prescribed set means one set on each side; do not double bilateral group volume."
p5-half-kneeling-single-arm-cable-pulldown,Half-Kneeling Single-Arm Cable Pulldown,,Cable,Vertical pull,unilateral,external,High cable diagonally forward; one knee down and torso upright.,Lats / teres major,Lats / teres major | Biceps (Brachii) | Mid / Low Traps & Rhomboids,Lats / teres major=1 | Biceps (Brachii)=0.5 | Mid / Low Traps & Rhomboids=0.25,Shoulder adduction/extension loads lats; elbow flexors contribute substantially and scapular movement supports modest grouped-back credit.,medium,Lats / teres major=medium | Biceps (Brachii)=medium | Mid / Low Traps & Rhomboids=medium,anatomy-upper | pull,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Sets are per side: one prescribed set means one set on each side; do not double bilateral group volume."
